,total_files,earliest_commit,typescript_4.0,typescript_4.1,typescript_4.2,remapped_name_in_mapped_type,typescript_4.3,typescript_4.4,typescript_4.5,type_modifier_on_import_name,template_literal_type,named_tuple_member,short_circuit_assignment,override_on_class_method,typescript_4.7,typescript_4.9,abstract_construct_signature,extends_constraint_on_infer,accessor_keyword,static_block_in_class,import_assertion,variance_annotations_on_type_parameter,satisfies_expression
probot/probot,59.0,2020.0,,9.0,,,,,,,,,,,,,,,,,,,
sachinchoolur/lightGallery,127.0,2020.0,,,,,,,,,,,,,,,,,,,,,
vercel/swr,50.0,2020.0,,,,,,27.0,,,,676.0,,,62.0,29.0,,,,,,,
squidfunk/mkdocs-material,119.0,2020.0,73.0,6.0,13.0,,6.0,4.0,3.0,,,,172.0,,6.0,1.0,,,,,,,
gvergnaud/ts-pattern,58.0,2020.0,65.0,10.0,1.0,,5.0,6.0,-13.0,,,193.0,,,3.0,,629.0,,,,,,
vuetifyjs/vuetify,601.0,2020.0,62.0,,,351.0,25.0,10.0,,,266.0,461.0,833.0,,7.0,,,147.0,,,,,
leongersen/noUiSlider,3.0,2020.0,,,37.0,,,,66.0,,632.0,,,,,,,,,,,,
redis/node-redis,981.0,2020.0,,,,335.0,-13.0,8.0,8.0,,355.0,278.0,266.0,,38.0,,,,,,,,
lyswhut/lx-music-desktop,266.0,2020.0,,,,,,,,,,,,,,1.0,,,,,,,
react-native-device-info/react-native-device-info,12.0,2020.0,29.0,21.0,16.0,,,,,,,,,,,,,,,,,,
ant-design/ant-design,362.0,2020.0,1.0,8.0,1.0,,1.0,1.0,1.0,357.0,487.0,,811.0,,1.0,2.0,,,,,,,
deepstreamIO/deepstream.io,189.0,2020.0,54.0,6.0,,,,,,,,,,,,,,,,,,,
ueberdosis/tiptap,353.0,2020.0,1.0,5.0,4.0,,2.0,20.0,16.0,,,752.0,,,,25.0,,,,,,,
umijs/qiankun,54.0,2020.0,,6.0,,,,,,,,,,,,,,,,,,,
oclif/oclif,87.0,2020.0,,,,,,26.0,22.0,,,,,,,26.0,,,,,,,
apollographql/apollo-client,242.0,2020.0,,,72.0,,23.0,4.0,7.0,,,,,,60.0,47.0,,,,,,,
vuejs/petite-vue,20.0,2021.0,,,,,36.0,20.0,,,,,,,,,,,,,,,
vercel/micro,13.0,2020.0,,,,,,,,,,,,,,,,,,,,,
baidu/amis,164.0,2020.0,19.0,13.0,,,,5.0,70.0,,,,,,,,,,,,,,
microsoft/SandDance,246.0,2020.0,,,,,205.0,379.0,,,,,,,,,,,,,,,
withfig/autocomplete,970.0,2021.0,,,17.0,,,,95.0,,,730.0,537.0,,,,,,,,,,
balena-io/etcher,65.0,2020.0,7.0,1.0,57.0,,,77.0,,,,,,,,,,,,,,,
LeetCode-OpenSource/vscode-leetcode,34.0,2020.0,,,,,8.0,,,,,,,,,,,,,,,,
nhn/tui.chart,3352.0,2020.0,,,,,,,,,,,,,,,,,,,,,
nhn/tui.calendar,187.0,2020.0,,131.0,,,,63.0,56.0,,162.0,,617.0,,58.0,,,,,,,,
SoftwareBrothers/adminjs,309.0,2020.0,,,,,,,,,,,,,78.0,,,,,,,,
remotion-dev/remotion,2376.0,2020.0,,22.0,67.0,445.0,,4.0,,,743.0,247.0,799.0,391.0,,,,,,,,,
mikro-orm/mikro-orm,722.0,2020.0,1.0,1.0,1.0,157.0,2.0,1.0,2.0,253.0,277.0,541.0,240.0,431.0,2.0,2.0,,,,,,,
remix-run/remix,440.0,2020.0,,16.0,18.0,412.0,,,94.0,302.0,503.0,558.0,334.0,,45.0,,,,,,,,
ethers-io/ethers.js,626.0,2020.0,,,13.0,,,51.0,,,659.0,600.0,,,105.0,,,,,,,,
vuejs/vitepress,80.0,2020.0,,42.0,,,1.0,,,275.0,,,,,3.0,26.0,,,,,,,
expo/expo,3128.0,2020.0,,,,,,,,356.0,454.0,90.0,551.0,,,,,,,,,,
ben-rogerson/twin.macro,69.0,2020.0,92.0,,,,,,,,,734.0,,,92.0,,,,,,,,
rolling-scopes/rsschool-app,666.0,2020.0,19.0,26.0,80.0,,56.0,,,,,,,,,,,,,,,,
pmndrs/use-gesture,65.0,2020.0,40.0,18.0,56.0,,2.0,7.0,14.0,,,,,,,,,,,,,,
redwoodjs/redwood,584.0,2020.0,13.0,106.0,66.0,649.0,,41.0,3.0,,666.0,,,,2.0,,,,,,,,
infinitered/ignite,155.0,2020.0,78.0,29.0,,,,,,,127.0,715.0,,,,,,,,,,,
graphql/express-graphql,10.0,2020.0,4.0,5.0,,,6.0,,,,,,,,,,,,,,,,
microsoft/frontend-bootcamp,47.0,2020.0,,,,,,,,,,,,,,,,,,,,,
keplergl/kepler.gl,159.0,2020.0,,,208.0,,,,,,464.0,,,,,,,,,,,,
