,total_files,earliest_commit,typescript_4.0,typescript_4.1,typescript_4.2,remapped_name_in_mapped_type,typescript_4.3,typescript_4.4,typescript_4.5,type_modifier_on_import_name,template_literal_type,named_tuple_member,short_circuit_assignment,override_on_class_method,typescript_4.7,typescript_4.9,abstract_construct_signature,extends_constraint_on_infer,accessor_keyword,static_block_in_class,import_assertion,variance_annotations_on_type_parameter,satisfies_expression
kulshekhar/ts-jest,216.0,2020.0,,7.0,97.0,,,76.0,1.0,163.0,,,,,14.0,,,,,,,,
rough-stuff/wired-elements,46.0,2020.0,,,58.0,,,,,,,,,,,,,,,,,,
microsoft/reactxp,154.0,2020.0,,,,,,,,,,,,,,,,,,,,,
kriasoft/react-starter-kit,46.0,2020.0,,,94.0,,,,,200.0,,,,,12.0,5.0,,,,,,,
developit/mitt,3.0,2020.0,,,,,,,,,,,,,,,,,,,,,
oldj/SwitchHosts,118.0,2020.0,,,32.0,,3.0,,32.0,,,,,,2.0,,,,,,,,
vueuse/vueuse,501.0,2020.0,34.0,8.0,4.0,605.0,4.0,8.0,2.0,129.0,,583.0,,,1.0,,,,,,,,
floating-ui/floating-ui,146.0,2020.0,,93.0,,,,,22.0,,401.0,,,,,38.0,,,,,,,
dilanx/craco,47.0,2020.0,,,,,,,,,,,,,33.0,,,,,,,,
valor-software/ngx-bootstrap,1468.0,2020.0,113.0,90.0,,,47.0,,30.0,,,,,205.0,56.0,,,,,,,,
bloomrpc/bloomrpc,17.0,2020.0,,,,,,70.0,,,,,,,,,,,,,,,
reduxjs/redux,46.0,2020.0,,,,,70.0,,62.0,,,,,,61.0,,,,,,,,
rematch/rematch,62.0,2020.0,50.0,73.0,,,,5.0,,,,417.0,,,,,,,,,,,
vuejs/vue-class-component,14.0,2020.0,6.0,,,,,,,,,,,,,,,,,,,,
nteract/nteract,329.0,2020.0,,,,,14.0,71.0,,,,,,,,,,,,,,,
thx/rap2-delos,66.0,2020.0,,,,,,,,,,,,,,,,,,,,,
hediet/vscode-debug-visualizer,74.0,2020.0,,,,,,,,,,,,,,,,,,,,,
rrweb-io/rrweb,143.0,2020.0,,,,,,,,338.0,,716.0,819.0,,32.0,,,,,,,,
naver/billboard.js,236.0,2020.0,4.0,19.0,7.0,,1.0,5.0,2.0,,,,,,,7.0,,,,,,,
highcharts/highcharts,1117.0,2020.0,,,,604.0,350.0,,,,604.0,,,,21.0,,,,,,,,
Tencent/vConsole,43.0,2020.0,,,,,50.0,,30.0,,,,,,,,,,,,,,
sindresorhus/ky,33.0,2020.0,,,64.0,,3.0,48.0,,,,,,,31.0,,,,,,,,
akveo/nebular,1008.0,2020.0,36.0,,125.0,,159.0,79.0,,,,,,,,,,,,,,,
GoogleChromeLabs/squoosh,171.0,2020.0,27.0,68.0,,,,55.0,,,,,,,,,,,,,,,
RocketChat/Rocket.Chat,2668.0,2020.0,,,118.0,295.0,36.0,,,,295.0,418.0,,,,,,,,,,,
pmndrs/valtio,42.0,2020.0,89.0,1.0,5.0,,10.0,16.0,5.0,,,289.0,,,51.0,3.0,,,,,,,
NervJS/taro,1170.0,2020.0,,95.0,95.0,,45.0,,,,,,187.0,,48.0,,,,,,,,
caprover/caprover,75.0,2020.0,,89.0,,,74.0,2.0,,,,,,,,,,,,,,,
markdoc/markdoc,51.0,2022.0,,,,,,,174.0,,,,,,,,,,,,,,
alan2207/bulletproof-react,76.0,2021.0,,192.0,,,,,,,,,,,,,,,,,,,
microsoft/fluentui,4400.0,2020.0,,162.0,,386.0,198.0,,,,191.0,312.0,676.0,,,,,,,,,,
stackblitz/core,11.0,2020.0,,,,,,,,,,,,,,,,,,,,,
grafana/grafana,2507.0,2020.0,37.0,15.0,64.0,,29.0,28.0,51.0,351.0,550.0,359.0,429.0,,62.0,36.0,,,,,365.0,,
maxogden/menubar,9.0,2020.0,,,,,,,,,,,,,,,,,,,,,
react-icons/react-icons,16.0,2020.0,,,,,,,,333.0,,,,,,,,,,,,,
tinacms/tinacms,467.0,2020.0,,,,,297.0,,,,,,,,,,,,,,,,
CopyTranslator/CopyTranslator,109.0,2020.0,,,,,,,,,,,,,,,,,,,,,
justadudewhohacks/face-api.js,273.0,2020.0,,,,,,,,,,,,,,,,,,,,,
react95-io/React95,87.0,2020.0,,,,,,,,,661.0,,,,62.0,,,,,,,,
yiminghe/async-validator,43.0,2020.0,,,,,5.0,,,,,,,,,,,,,,,,
foambubble/foam,135.0,2020.0,,,,,,,,,,,,,,,,,,,,,
kusti8/proton-native,35.0,2020.0,,,,,,,,,,,,,,,,,,,,,
vuejs/vetur,197.0,2020.0,1.0,7.0,3.0,,7.0,51.0,,,,,,,,17.0,,,,,,,
trufflesuite/truffle,591.0,2020.0,,628.0,,,,76.0,,,161.0,733.0,,560.0,79.0,,,,,,,,
devhubapp/devhub,233.0,2020.0,81.0,17.0,,,29.0,,,,,,,,,,,,,,,,
kamranahmedse/developer-roadmap,13.0,2020.0,,,,,67.0,64.0,2.0,,,,,,,,,,,,,,
google/model-viewer,288.0,2020.0,42.0,,,,50.0,,,,,,,,,,,,,,,,
thedevs-network/kutt,83.0,2020.0,,,42.0,,,,,,,,,,,,,,,,,,
sindresorhus/pageres,4.0,2020.0,,26.0,,,,,,286.0,,,,,,,,,,,,,
mantinedev/mantine,1133.0,2021.0,,50.0,84.0,,6.0,,4.0,,485.0,,,,66.0,22.0,,,,,,,
quicktype/quicktype,101.0,2020.0,,,,,,,,,,,,,,,,,,,,,
triggerdotdev/jsonhero-web,49.0,2022.0,,467.0,,,,,,,,,,,,,,,,,,,
projectstorm/react-diagrams,151.0,2020.0,34.0,,18.0,,47.0,,,,,,,,11.0,,,,,,,,
monkeytypegame/monkeytype,352.0,2020.0,,,,,,,98.0,,450.0,545.0,557.0,278.0,,,,,,,,,
directus/directus,1120.0,2020.0,,,,289.0,,,,,114.0,525.0,553.0,477.0,53.0,2.0,,,,,,,
tradingview/lightweight-charts,203.0,2020.0,30.0,1.0,88.0,,9.0,7.0,6.0,281.0,,,,160.0,77.0,30.0,,,,,,,
NativeScript/NativeScript,1195.0,2020.0,61.0,159.0,,,210.0,,45.0,,599.0,,354.0,,47.0,,,,,482.0,,,
bitwarden/clients,1838.0,2020.0,,155.0,,672.0,198.0,,,,,763.0,294.0,261.0,,,,,,,,,
chimurai/http-proxy-middleware,49.0,2020.0,11.0,,33.0,,8.0,37.0,1.0,,,,,,,,,,,,,,
slidevjs/slidev,93.0,2021.0,,,48.0,,1.0,13.0,27.0,,,,247.0,,9.0,28.0,,,,,,,
laurent22/joplin,1373.0,2020.0,76.0,,,,,,,,,719.0,354.0,,99.0,3.0,,,,,,,
express-validator/express-validator,59.0,2020.0,,,673.0,,,,,,,,,,,,,,,,,,
jquense/yup,46.0,2020.0,10.0,22.0,,22.0,,47.0,48.0,,,418.0,40.0,217.0,6.0,6.0,,,,,,,
curlconverter/curlconverter,32.0,2020.0,,,,,,,,,,,604.0,,38.0,15.0,,,,,,,
nhn/tui.editor,328.0,2020.0,,,23.0,,,,,,,188.0,,,,,,,,,,,
wix/react-native-calendars,40.0,2020.0,,,,,22.0,,,,,,,,,,,,,,,,
BabylonJS/Babylon.js,1594.0,2020.0,5.0,2.0,2.0,,2.0,1.0,62.0,,,554.0,255.0,128.0,,,,,,,,,
vitest-dev/vitest,565.0,2021.0,,,,,,,17.0,204.0,,478.0,478.0,,3.0,28.0,,,,,,,
aurelia/framework,8.0,2020.0,,,,,,,,133.0,,,,,,,,,,,,,
GoogleChromeLabs/comlink,5.0,2020.0,,,,,,,,,,,,,,5.0,,,,,,,
lensterxyz/lenster,103.0,2022.0,,,,,,,,,,,,,1.0,2.0,,,,,,,
serialport/node-serialport,40.0,2020.0,,,,,,,68.0,,,,,,,2.0,,,,,,,
wulkano/Kap,89.0,2020.0,205.0,,,,,,,,,,,,,,,,,,,,
codex-team/editor.js,168.0,2020.0,,,,,,52.0,,,,,,,,,,,,,,,
akveo/kittenTricks,106.0,2020.0,173.0,119.0,,,,,,,,,,,,,,,,,,,
TypeStrong/typedoc,348.0,2020.0,9.0,7.0,9.0,7.0,11.0,2.0,5.0,131.0,7.0,9.0,59.0,41.0,2.0,-1.0,9.0,2.0,-1.0,,,7.0,-1.0
midwayjs/midway,2048.0,2020.0,,46.0,,,,,43.0,,403.0,,780.0,,,45.0,,,,,,,
Eugeny/tabby,266.0,2020.0,,,82.0,,41.0,,,,,,289.0,,,,,,,,,,
juice-shop/juice-shop,511.0,2020.0,,,12.0,,,,,,,545.0,599.0,,,,,,,,,,
framer/motion,487.0,2020.0,6.0,,23.0,,,,48.0,,698.0,,6.0,,83.0,,,,,,,,
react-navigation/react-navigation,17.0,2020.0,34.0,14.0,12.0,,10.0,,,,,,,,34.0,3.0,,,,,,,
vitejs/vite,371.0,2020.0,22.0,5.0,,,13.0,34.0,42.0,,219.0,394.0,392.0,13.0,,22.0,,,28.0,,,,
inversify/InversifyJS,109.0,2020.0,,100.0,62.0,,,43.0,,,,,,367.0,,,227.0,,,,,,
jquery/esprima,16.0,2020.0,,,,,,,,,,,,,,,,,,,,,
formatjs/formatjs,436.0,2020.0,,,,,124.0,53.0,14.0,,,69.0,,,91.0,16.0,,,,,,,
cuixiaorui/mini-vue,98.0,2020.0,,,,,,17.0,,,,,,,,,,,,,,,
maximegris/angular-electron,36.0,2020.0,87.0,192.0,96.0,,,84.0,99.0,,,,,,57.0,,,,,,,,
uber/baseweb,560.0,2020.0,,,,,,,,237.0,,,,,9.0,,,,,,,,
webdriverio/webdriverio,789.0,2020.0,5.0,88.0,48.0,,,50.0,,,,48.0,,,56.0,1.0,,,,,,,
facebook/jest,771.0,2020.0,5.0,,364.0,524.0,,,,87.0,,538.0,487.0,317.0,10.0,,,,,,,,
telegraf/telegraf,51.0,2020.0,-45.0,5.0,19.0,18.0,,2.0,21.0,80.0,18.0,827.0,103.0,,90.0,,,,,,,,
typescript-eslint/typescript-eslint,1937.0,2020.0,,,,-10.0,,,,-4.0,-10.0,-10.0,-32.0,-3.0,,,6.0,-6.0,3.0,2.0,-5.0,-4.0,13.0
vuestorefront/vue-storefront,601.0,2020.0,,98.0,3.0,,,,93.0,,,543.0,518.0,,,,,,,,,,
callstack/react-native-paper,34.0,2020.0,,,,,,,62.0,,,,,,,,,,,,,,
vercel/satori,69.0,2022.0,,,,,,,74.0,98.0,,552.0,735.0,,,,,,,,,,
microsoft/fast,1405.0,2020.0,,,,,,,,,,,629.0,350.0,-18.0,,,,,,,,
vuejs/devtools,121.0,2020.0,,,,,,,,,,,,,,,,,,,,,
coder/code-server,3420.0,2020.0,6.0,27.0,-13.0,,-75.0,22.0,,,,118.0,,-25.0,,,,,,,,,
ionic-team/capacitor,147.0,2020.0,,,,,,,,,,,,,,,,,,,,,
antvis/G6,429.0,2020.0,106.0,,,,,,,,491.0,,,,,,,,,,,,
bytedance/IconPark,2678.0,2020.0,7.0,88.0,,,,,,,,,,,,,,,,,,,
antvis/F2,189.0,2020.0,,35.0,,,,,,,356.0,,,,,,,,,,,,
apify/crawlee,449.0,2020.0,,,36.0,669.0,58.0,13.0,1.0,239.0,,,693.0,414.0,51.0,,,,,,,,
helmetjs/helmet,33.0,2020.0,22.0,21.0,48.0,,8.0,27.0,7.0,,,,,,28.0,22.0,,,,,,,
jupyterlab/jupyterlab,745.0,2020.0,,,,,,,,,,,,,,,,,,,,,
ariakit/ariakit,493.0,2020.0,,,,716.0,,67.0,15.0,,347.0,,,,1.0,42.0,,,,,,,
elastic/kibana,30189.0,2020.0,7.0,6.0,,106.0,59.0,,26.0,62.0,106.0,20.0,572.0,520.0,106.0,15.0,450.0,,,,,,
arwes/arwes,259.0,2020.0,,29.0,,,53.0,203.0,,,,,,,77.0,,,,,,,,
millsp/ts-toolbelt,275.0,2020.0,,-62.0,,,,,,,-63.0,162.0,,,,,,,,,,,
palantir/blueprint,261.0,2020.0,34.0,20.0,,,,,,,71.0,,,,,,,,,,,,
airbnb/visx,313.0,2020.0,,,,,,,,,,,,,,,,,,,,,
lit/lit,567.0,2020.0,20.0,,-9.0,,92.0,310.0,,246.0,323.0,113.0,1.0,92.0,47.0,,,,,,,,
Zettlr/Zettlr,349.0,2020.0,23.0,24.0,10.0,,11.0,7.0,18.0,,,858.0,,,,,,,,,,,
gcanti/fp-ts,272.0,2020.0,19.0,4.0,16.0,,,,,,,213.0,,,,,,,,,,,
mobxjs/mobx,109.0,2020.0,29.0,,,,,,,,,,160.0,,,,,,,,,,
clauderic/dnd-kit,247.0,2020.0,99.0,,,,,,7.0,,,,,,,,,,,,,,
ant-design/ant-design-pro,221.0,2020.0,40.0,,6.0,,,,42.0,,,,,,,,,,,,,,
johannesjo/super-productivity,901.0,2020.0,28.0,151.0,,,32.0,72.0,,,,,,,73.0,,,,,,,,
wbkd/react-flow,75.0,2020.0,4.0,4.0,6.0,,2.0,7.0,5.0,,,,,,49.0,,,,,,,,
nodegui/react-nodegui,86.0,2020.0,,,,,83.0,315.0,,,,,,,,,,,,,,,
nestjs/nest,1544.0,2020.0,1.0,19.0,2.0,,33.0,32.0,86.0,,448.0,561.0,539.0,,1.0,27.0,,,,,,,
material-theme/vsc-material-theme,30.0,2020.0,,26.0,,,,,,,,,,,,,,,,,,,
apache/echarts,658.0,2020.0,,25.0,,,36.0,38.0,,,118.0,,,,,,,,,,,,
DefinitelyTyped/DefinitelyTyped,46338.0,2020.0,,,,2.0,-68.0,,,,2.0,7.0,340.0,,,,365.0,213.0,,,94.0,,
statelyai/xstate,238.0,2020.0,12.0,1.0,81.0,552.0,5.0,,4.0,,225.0,391.0,407.0,,,,,,,,,,
reactjs/reactjs.org,9.0,2020.0,428.0,,,,,,,,,,,,,,,,,,,,
ionic-team/ionicons,19.0,2020.0,,75.0,,,,,,,,,,,,,,,,,,,
gitkraken/vscode-gitlens,413.0,2020.0,-8.0,,-40.0,,-2.0,-55.0,-14.0,41.0,147.0,752.0,,-2.0,-41.0,20.0,,,38.0,,,,
chartist-js/chartist,102.0,2022.0,,,,,,,,,633.0,,,409.0,,,,,,,,,
ianstormtaylor/slate,93.0,2020.0,694.0,,42.0,,,,,,,,,,,,,,,,,,
youzan/vant,450.0,2020.0,,,,,,,,33.0,,,,,,,,,,,,,
tailwindlabs/headlessui,161.0,2020.0,,,,,,,72.0,275.0,,840.0,580.0,,,,,,,,,,
refined-github/refined-github,74.0,2020.0,6.0,-100.0,6.0,,15.0,42.0,23.0,,596.0,,,,28.0,,,,,,,,
missive/emoji-mart,17.0,2020.0,,,,,,,282.0,,,,,,,,,,,,,,
alibaba/formily,577.0,2020.0,,6.0,,,138.0,,,,26.0,,,,,,,,,,,,
sveltejs/svelte,222.0,2020.0,,,,,,,,,,,,,,,,,,,,,
utterance/utterances,20.0,2020.0,,80.0,,,,,84.0,,,,,,,,,,,,,,
piotrwitek/react-redux-typescript-guide,58.0,2022.0,,,,,,,,,,,,,,,,,,,,,
flatpickr/flatpickr,94.0,2020.0,,25.0,,,,,,,,,,,,,,,,,,,
gcanti/io-ts,90.0,2020.0,70.0,24.0,,,,,,,,,,,,,,,,,,,
konvajs/konva,125.0,2020.0,,69.0,67.0,,,29.0,116.0,,,,,,78.0,33.0,,,,,,,
octokit/octokit.js,27.0,2020.0,,,37.0,,,,,,,,,,,,,,,,,,
tweenjs/tween.js,11.0,2020.0,60.0,,,,,,,,,,,,,,,,,,,,
graphql/graphql-playground,83.0,2020.0,,,,,,,,,,,,,,,,,,,,,
darkreader/darkreader,141.0,2020.0,26.0,6.0,1.0,,7.0,69.0,48.0,,,,,,74.0,4.0,,,,,,,
tensorflow/tensorboard,1001.0,2020.0,111.0,,,,80.0,5.0,28.0,,,,,125.0,189.0,,,,,,,,
angular/angular,6080.0,2020.0,5.0,7.0,23.0,83.0,10.0,29.0,14.0,395.0,83.0,20.0,616.0,48.0,-24.0,22.0,,,,,,,
postcss/postcss,47.0,2020.0,2.0,3.0,9.0,,15.0,27.0,1.0,,,,,,2.0,6.0,,,,,,,
pavlobu/deskreen,184.0,2020.0,,,,,,,,,,,,,,,,,,,,,
pmndrs/react-spring,178.0,2020.0,31.0,,31.0,,,,25.0,,,679.0,,,37.0,,,111.0,,,,,
howdyai/botkit,34.0,2020.0,,,,,,,,,,,,,,,,,,,,,
immutable-js/immutable-js,68.0,2020.0,302.0,,,,24.0,,,,,309.0,,,,38.0,,,,,,,
expo/create-react-native-app,6.0,2020.0,,,,,,,,,,,,,,,,,,,,,
styleguidist/react-styleguidist,236.0,2020.0,,,,,,,,,,,,,104.0,,,,,,,,
graphql/graphql-js,286.0,2020.0,4.0,1.0,19.0,333.0,5.0,32.0,13.0,,,288.0,400.0,408.0,44.0,7.0,,,,,,,
BuilderIO/qwik,407.0,2021.0,,87.0,20.0,490.0,,,8.0,,436.0,644.0,753.0,,8.0,5.0,,,,,,,
reactchartjs/react-chartjs-2,11.0,2020.0,,,,,,48.0,,,,,,,,1.0,,,,,,,
storybookjs/storybook,1286.0,2020.0,158.0,,249.0,691.0,,,,335.0,294.0,,784.0,,,,,,-14.0,,,,
vercel/serve,13.0,2020.0,,,,,,,,,601.0,,,,,,,,,,,,
shoelace-style/shoelace,208.0,2020.0,12.0,100.0,78.0,,,,50.0,,,,,,3.0,,,,,,,,
n8n-io/n8n,2610.0,2020.0,,,,,,,,,201.0,,518.0,483.0,,,,,,,,,
timolins/react-hot-toast,11.0,2020.0,,,,,,,,,,,,,45.0,,,,,,,,
tinymce/tinymce,3531.0,2020.0,75.0,,77.0,,5.0,4.0,1.0,,630.0,,,,23.0,,,,,,,,
raineorshine/npm-check-updates,110.0,2020.0,,,82.0,,4.0,75.0,20.0,,574.0,,,,10.0,8.0,,,,,,,
webiny/webiny-js,2758.0,2020.0,,69.0,,,,,22.0,377.0,629.0,623.0,,282.0,45.0,,,,,,,,
antfu/vitesse,17.0,2020.0,1.0,9.0,2.0,,4.0,4.0,11.0,141.0,,,,,1.0,7.0,,,,,,,
voidcosmos/npkill,56.0,2020.0,,,,,,,,,,,,,,,,,,,,,
tensorflow/tfjs-models,443.0,2020.0,,,,,,,,,,,,,,,,,,,,,
James-Yu/LaTeX-Workshop,123.0,2020.0,29.0,27.0,15.0,,24.0,7.0,3.0,296.0,,,,,16.0,23.0,,,,,,,
barbajs/barba,109.0,2020.0,,,,,,,,,,,,,,22.0,,,,,,,
akveo/eva-icons,31.0,2020.0,,,,,,,,,,,,,,,,,,,,,
yarnpkg/berry,435.0,2020.0,,-52.0,35.0,,1.0,5.0,2.0,,,424.0,201.0,,-42.0,-47.0,,,,,,,
appwrite/appwrite,151.0,2020.0,,,,,,,,,,,,,,,120.0,,,,,,
taniarascia/takenote,52.0,2020.0,58.0,,,,,,,,,,,,,,,,,,,,
signalapp/Signal-Desktop,1030.0,2020.0,,68.0,,273.0,43.0,2.0,,,273.0,,330.0,171.0,,8.0,,,,,,,
typestack/class-validator,174.0,2020.0,21.0,54.0,1.0,,,,,,,,,,,1.0,,,,,,,
sveltejs/sapper,83.0,2020.0,48.0,,,,,,,,,,,,,,,,,,,,
react-native-webview/react-native-webview,10.0,2020.0,546.0,,,,,,,,,,,,,,,,,,,,
graphile/postgraphile,194.0,2020.0,21.0,64.0,,,,,,,,,,,,,,,,,,,
material-shell/material-shell,120.0,2020.0,,72.0,,183.0,,,,,183.0,,,325.0,,,,,,,,,
niklasvh/html2canvas,140.0,2020.0,,,,,46.0,,,,,,,,,,,,,,,,
typestack/class-transformer,69.0,2020.0,20.0,57.0,1.0,,,,3.0,,,,,,1.0,1.0,,,,,,,
doczjs/docz,98.0,2020.0,,,,,,,,,,,760.0,,,,,,,,,,
outline/outline,726.0,2020.0,,41.0,,,40.0,96.0,,,,,,,63.0,,,,,,,,
botpress/botpress,1100.0,2020.0,,,66.0,736.0,,92.0,,,736.0,,,,,,,,,,,,
angular/angularfire,317.0,2020.0,,,,,,,,,,,90.0,,,,,,,,,,
tusen-ai/naive-ui,870.0,2020.0,75.0,56.0,2.0,,7.0,8.0,,,57.0,,,,,27.0,,,,,,,
OI-wiki/OI-wiki,6.0,2020.0,,,,,,,,,,,,,47.0,,,,,,,,
prevwong/craft.js,103.0,2020.0,,,,,,,,,,,,,,,,,,,,,
gothinkster/realworld,54.0,2020.0,,,,,,,,,,,,,197.0,,,,,,,,
daybrush/moveable,124.0,2020.0,,,384.0,,,,203.0,,,,,,,,,,,,,,
ngrx/platform,1099.0,2020.0,112.0,154.0,60.0,202.0,119.0,60.0,,,202.0,136.0,,121.0,98.0,,,,,,,,
ajv-validator/ajv,186.0,2020.0,5.0,,11.0,,,,,,161.0,,39.0,,,,,,,,,,
getsentry/sentry-javascript,796.0,2020.0,580.0,124.0,,,,,,,,652.0,,,,,,,,,,,
ianstormtaylor/superstruct,238.0,2020.0,,6.0,,,,,,,,,115.0,,,,,,,,,,
Choices-js/Choices,136.0,2020.0,,,,,,,31.0,,,,,,,14.0,,,,,,,
react-native-elements/react-native-elements,133.0,2020.0,,88.0,,,85.0,,,98.0,,,,,,,,,,,,,
Jigsaw-Code/outline-client,56.0,2020.0,,,,,,,2.0,,,,826.0,,81.0,,,,,,,,
Raathigesh/majestic,39.0,2020.0,,,,,,,,,,,,,,,,,,,,,
aws/aws-cdk,4070.0,2020.0,,,,,,,,,,,,,,,,,,,,,
yezihaohao/react-admin,9.0,2020.0,,,,,,,,,,,,,,,,,,,,,
graphql-editor/graphql-editor,123.0,2020.0,40.0,,,,41.0,22.0,,,699.0,,,,,,,,,,,,
vercel/vercel,875.0,2020.0,,,,,,,,232.0,,329.0,807.0,,,,,,,,,,
luin/ioredis,114.0,2020.0,,,,,,,117.0,,,571.0,,,,,,,,,,,
opencv/cvat,143.0,2020.0,,,,,,,,,,,,,,,,,,,,,
ag-grid/ag-grid,6493.0,2020.0,806.0,,,,,,,,,,506.0,,,,,,,,,,
type-challenges/type-challenges,317.0,2020.0,-23.0,1.0,69.0,,,,20.0,,,,,,26.0,,,,,,,,
react-page/react-page,521.0,2020.0,48.0,41.0,,,,26.0,,,,,,,,7.0,,,,,,,
homebridge/homebridge,25.0,2020.0,14.0,12.0,21.0,,,43.0,61.0,,,,,,,,,,,,,,
linnovate/mean,34.0,2020.0,110.0,,83.0,,,93.0,,,,,,,83.0,,,,,,,,
BuilderIO/partytown,146.0,2021.0,,,,,87.0,21.0,3.0,,,483.0,,,,,,,,,,,
fullcalendar/fullcalendar,585.0,2020.0,76.0,,,,9.0,,,,,,,,,,,,,,,,
reduxjs/redux-toolkit,267.0,2020.0,57.0,18.0,36.0,-3.0,25.0,,,,-3.0,780.0,60.0,,,,,,,,,,
DylanVann/react-native-fast-image,1.0,2020.0,,,,,59.0,,,,,,,,,,,,,,,,
vuejs/pinia,89.0,2020.0,33.0,82.0,8.0,288.0,8.0,8.0,5.0,,140.0,,312.0,,62.0,,,182.0,,,,,
alibaba/hooks,211.0,2020.0,,,,,,,,,,,,,,,,,,,,,
t4t5/sweetalert,55.0,2020.0,,,,,,,,,,,,,,,,,,,,,
radix-ui/primitives,118.0,2020.0,,,,,,,,,,,,,,,,,,,,,
pmndrs/react-three-fiber,37.0,2020.0,35.0,4.0,10.0,668.0,35.0,,,350.0,,197.0,,,,,,,,,,,
microsoft/vscode-go,60.0,2020.0,,,,,,,,,,,,,,,,,,,,,
BuilderIO/mitosis,402.0,2020.0,,,32.0,,,,,,567.0,733.0,309.0,,,,,,,,,,
pnpm/pnpm,743.0,2020.0,2.0,3.0,10.0,,-53.0,52.0,3.0,,,,483.0,,35.0,2.0,,,,,,,
chakra-ui/chakra-ui,617.0,2020.0,4.0,18.0,,,71.0,,,239.0,67.0,205.0,187.0,,40.0,,,,,,,,
conventional-changelog/commitlint,194.0,2020.0,1.0,1.0,1.0,,1.0,6.0,,,,,,,,30.0,,,,,,,
marmelab/react-admin,374.0,2020.0,9.0,,,,,20.0,,,,398.0,,,,,,,,,,,
fingerprintjs/fingerprintjs,87.0,2020.0,55.0,,,,,,,,,131.0,,,,9.0,,,45.0,,,,
adazzle/react-data-grid,40.0,2020.0,1.0,1.0,1.0,,1.0,1.0,59.0,,,181.0,147.0,,6.0,6.0,,,,,,,
ecomfe/zrender,134.0,2020.0,,25.0,,,36.0,31.0,,,,,,,,,,,,,,,
eclipse-theia/theia,1684.0,2020.0,,,,,,,84.0,,574.0,594.0,544.0,266.0,,,,,,,,,
typeorm/typeorm,2934.0,2020.0,,,3.0,118.0,34.0,,,,133.0,529.0,,,,,,,,,,,
cs01/gdbgui,9.0,2020.0,,,,,,,,,,,,,,,,,,,,,
apollographql/apollo-server,341.0,2020.0,,,72.0,,21.0,2.0,1.0,199.0,,,,29.0,1.0,7.0,,,,,,50.0,
jaredpalmer/formik,39.0,2020.0,36.0,,,,,,,,,,,,,,,,,,,,
any86/any-rule,13.0,2020.0,,,,,,,,,,,,,,,,,,,,,
sahat/satellizer,30.0,2021.0,,,,,,,,,,,,,,,,,,,,,
gregberge/svgr,58.0,2020.0,,,,,,66.0,,,,,,,28.0,,,,,,,,
react-dnd/react-dnd,239.0,2020.0,16.0,83.0,,,79.0,25.0,79.0,,,,,255.0,,,,,,,,,
pubkey/rxdb,496.0,2020.0,22.0,66.0,41.0,,1.0,65.0,21.0,401.0,764.0,,,,,36.0,,,,,,,
software-mansion/react-native-gesture-handler,96.0,2020.0,,82.0,,,,,78.0,,,,,,,,,,,,,,
refinedev/refine,1592.0,2021.0,,,,,,68.0,,,736.0,827.0,,,66.0,,,,,,,,
adobe/react-spectrum,671.0,2020.0,,,,,,,22.0,,755.0,,,,,,,,,,,,
airbnb/react-sketchapp,99.0,2020.0,,,,,,,,,,,,,,,,,,,,,
date-fns/date-fns,1945.0,2020.0,13.0,66.0,100.0,,,86.0,,,,,,,62.0,,,,,,,,
liupan1890/aliyunpan,101.0,2022.0,,,,,,,,,,796.0,,,,,,,,,,,
dinerojs/dinero.js,438.0,2020.0,,,47.0,,53.0,13.0,10.0,,,235.0,,,,,,,,,,,
felixrieseberg/windows95,13.0,2020.0,,25.0,,,,,,,,,,,,,,,,,,,
Prince-Mendiratta/BotsApp,54.0,2021.0,,,,,,,,,,,,,,,,,,,,,
pmndrs/zustand,13.0,2020.0,14.0,30.0,5.0,,10.0,16.0,5.0,,,606.0,,,55.0,20.0,,,,,,,
video-dev/hls.js,128.0,2020.0,61.0,33.0,39.0,,1.0,45.0,8.0,,,848.0,,,8.0,8.0,,,,,,,
